# Measured hyperfine constants of 39K, 40K and 41K, transcribed from Table 3 of
# M. Allegrini, E. Arimondo, L. A. Orozco, "Survey of hyperfine structure measurements
# in alkali atoms", J. Phys. Chem. Ref. Data 51, 043102 (2022), doi:10.1063/5.0098061.
# Where the table gives several measurements, the row it marks "Recommended" or "w.a."
# (weighted average) is used; otherwise the single measurement.
# Columns: A and B in MHz with 1-sigma uncertainties. Blank B: J = 1/2 (no quadrupole) or
# B not determined. The table's "0" B entries without an uncertainty mean "not measured"
# and are left blank here. A bound |B| < x is stored as B = 0 +- x.
# basis: recommended | weighted_average | single.
# sign_from: blank if the measurement fixes the sign; otherwise where the sign comes from.
40,4,0,0.5,-285.7308,0.0024,,,single,,Arimondo et al. RMP 49 31 (1977),
40,4,1,0.5,-34.523,0.025,,,recommended,,Falke et al. PRA 74 032503 (2006),
40,4,1,1.5,-7.585,0.010,-3.445,0.090,recommended,,Falke et al. PRA 74 032503 (2006),
40,5,1,0.5,-12.0,0.9,,,single,,Behrle et al. (2011),
40,5,1,1.5,-2.45,0.02,-1.16,0.22,single,,Arimondo et al. RMP 49 31 (1977),
41,3,2,1.5,0.55,0.03,0.51,0.08,single,39K via mu/I and Q ratios,Sieradzan et al. PRA 55 3475 (1997),only |A| and |B| measured
41,3,2,2.5,-0.40,0.02,0,0.2,single,39K via mu/I ratio,Sieradzan et al. PRA 55 3475 (1997),only |A| measured; |B| < 0.2 MHz
41,4,0,0.5,127.0069352,0.0000006,,,recommended,,Arimondo et al. RMP 49 31 (1977),
41,4,1,0.5,15.245,0.042,,,recommended,,Falke et al. PRA 74 032503 (2006),ARC's table has the sign wrong
41,4,1,1.5,3.342,0.012,3.242,0.022,weighted_average,,Ney 1969; Krainska-Miszczak 1981; Sieradzan 1995; Falke 2006,B/B(39K) = 1.141(19) vs the Q ratio 1.217: 4 sigma off (dominated by Sieradzan 1995); Falke alone (3.351(71)) agrees
41,5,0,0.5,30.75,0.75,,,single,,Gupta et al. PRA 8 2792 (1973),
41,5,1,0.5,4.96,0.17,,,single,,Ney (1969),
41,5,1,1.5,1.08,0.02,1.06,0.04,single,,Ney (1969),
41,6,0,0.5,12.03,0.40,,,recommended,,Gupta et al. PRA 8 2792 (1973),
41,6,2,1.5,0.14,0.02,0.05,0.02,single,39K via mu/I and Q ratios,Glodz & Krainska-Miszczak (1985b),only |A| and |B| measured
41,7,0,0.5,6.5,1.0,,,recommended,,Otto et al. (2002),survey text 4.3.2 recommends Otto; the table's w.a. 7.9(12) includes Thompson 1983 which fails n*^3 scaling
41,8,0,0.5,3.1,0.7,,,weighted_average,,Thompson et al. (1983); Otto et al. (2002),
41,9,0,0.5,2.6,1.3,,,single,,Otto et al. (2002),
41,10,0,0.5,2.0,2.4,,,single,,Otto et al. (2002),
41,11,0,0.5,2.0,1.1,,,single,,Otto et al. (2002),
